ID,Name,Parent.ID,Parent.Name,Total.Transactions,Payment.BTC,Payment.USD.equivalent,Commission.BTC,Commission.USD.equivalent
25,Concentrates,1,Cannabis,8318,39325.25,1036328,3059.85,74149
488,Pre-rolled,1,Cannabis,2794,1110.15,71405,96.13,5971
548,Shake,1,Cannabis,1915,3151.72,172393,274.61,15424
79,Seeds,1,Cannabis,2793,7092.84,125483,489.19,9582
458,Trim,1,Cannabis,1653,2777.70,195681,235.83,16141
96,Synthetic,1,Cannabis,714,984.94,37657,72.22,2526
244,Cuttings,1,Cannabis,265,789.02,76874,54.33,5024
318,Clones,1,Cannabis,322,288.74,9369,25.25,791
253,Topicals,1,Cannabis,155,171.41,6569,14.29,540
28,Cubensis,5,Shrooms,14118,87713.18,1513707,6624.67,112510
518,Capsules,5,Shrooms,1745,3214.49,144659,284.56,12540
30,Mexicana,5,Shrooms,1957,7259.60,180501,635.62,14825
29,Cyanescens,5,Shrooms,1080,1464.67,52441,109.92,4548
80,Spores,5,Shrooms,762,1088.18,26333,87.26,2011
292,Edibles,5,Shrooms,291,243.77,22881,19.96,1818
160,Cultures,5,Shrooms,138,312.92,6029,24.73,450
32,Liberty caps,5,Shrooms,70,134.27,4129,11.45,337
529,A. Muscaria,5,Shrooms,108,327.17,6856,28.33,553
521,Subaeruginosa,5,Shrooms,19,14.81,1559,1.30,129
31,Atlantis,5,Shrooms,52,463.81,4436,31.53,294
516,Tampanensis,5,Shrooms,1,.16,20,.01,2
231,Azurescens,5,Shrooms,19,86.66,705,7.21,53
33,MDMA,6,Ecstasy,78793,863702.23,22237025,49153.60,1192203
36,Pills,6,Ecstasy,54108,345717.55,8798086,23267.10,545955
97,Methylone,6,Ecstasy,10027,88124.07,4121504,4185.43,177578
166,MDA,6,Ecstasy,3687,28538.62,618303,2039.38,41179
204,6-APB,6,Ecstasy,194,100.47,7330,8.98,595
205,5-APB,6,Ecstasy,49,10.10,1133,.99,106
209,Butylone,6,Ecstasy,65,31.23,2596,2.69,205
181,4-MEC,6,Ecstasy,186,1311.12,24023,78.74,1044
185,MDAI,6,Ecstasy,64,122.91,2972,11.24,256
315,MPA,6,Ecstasy,35,48.06,1204,4.42,102
472,5-MAPB,6,Ecstasy,12,3.00,325,.27,29
308,5-IT,6,Ecstasy,5,2.78,319,.26,29
171,Blotter,7,LSD,34485,154767.69,4337638,11531.31,317229
172,Liquid,7,LSD,1435,6386.50,223096,416.76,13802
174,Microdots,7,LSD,523,2244.08,86439,158.59,6533
509,Candy,7,LSD,25,31.49,3256,2.67,276
173,Crystal,7,LSD,3,464.57,16918,8.78,317
519,Changa,12,DMT,507,1043.38,49181,93.29,4121
